"No.","Time","Source","Destination","Protocol","Length","Info"
"1405","16.381875","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1406","16.381875","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1407","16.382156","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1408","16.382156","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1409","16.382252","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1410","16.382456","114.125.240.16","192.168.43.76","UDP","545","443  >  60893 Len=503"
"1411","16.382733","192.168.43.76","114.125.240.16","UDP","76","60893  >  443 Len=34"
"1412","16.383493","192.168.43.76","114.125.240.16","UDP","75","60893  >  443 Len=33"
"1413","16.391209","192.168.43.76","114.125.240.16","UDP","76","60893  >  443 Len=34"
"1414","18.056186","74.125.24.94","192.168.43.76","TLSv1.2","127","Application Data"
"1415","18.057125","192.168.43.76","74.125.24.94","TCP","54","49583  >  443 [FIN, ACK] Seq=2 Ack=74 Win=514 Len=0"
"1416","18.098809","74.125.24.94","192.168.43.76","TCP","54","443  >  49583 [ACK] Seq=74 Ack=3 Win=168 Len=0"
"1417","18.116582","74.125.24.94","192.168.43.76","TCP","54","443  >  49583 [FIN, ACK] Seq=74 Ack=3 Win=168 Len=0"
"1418","18.116715","192.168.43.76","74.125.24.94","TCP","54","49583  >  443 [ACK] Seq=3 Ack=75 Win=514 Len=0"
"1419","19.611519","192.168.43.76","216.239.38.120","QUIC","1292","Initial, DCID=d3021a256968b40f, PKN: 1, CRYPTO, PING, PING, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO, PING, PING, PADDING, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO"
"1420","19.612307","192.168.43.76","216.239.38.120","QUIC","119","0-RTT, DCID=d3021a256968b40f"
"1421","19.613961","192.168.43.76","216.239.38.120","QUIC","1292","Initial, DCID=cb92b3a66a3bca60, PKN: 1, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO"
"1422","19.614895","192.168.43.76","216.239.38.120","QUIC","116","0-RTT, DCID=cb92b3a66a3bca60"
"1423","19.710125","216.239.38.120","192.168.43.76","QUIC","1292","Protected Payload (KP0)"
"1424","19.710310","216.239.38.120","192.168.43.76","QUIC","664","Protected Payload (KP0)"
"1425","19.711397","192.168.43.76","216.239.38.120","QUIC","121","Handshake, DCID=d3021a256968b40f"
"1426","19.712029","192.168.43.76","216.239.38.120","QUIC","75","Protected Payload (KP0), DCID=d3021a256968b40f"
